poll_results,debate_name,speaker
8.4,New Hampshire Debate,Joe Biden
25.7,New Hampshire Debate,Bernie Sanders
19.8,New Hampshire Debate,Amy Klobuchar
3.6,New Hampshire Debate,Tom Steyer
2.8,New Hampshire Debate,Andrew Yang
9.2,New Hampshire Debate,Elizabeth Warren
24.4,New Hampshire Debate,Pete Buttigieg
0,New Hampshire Debate,Linsey Davis
0,New Hampshire Debate,David Muir
0,New Hampshire Debate,Monica Hernandez
0,New Hampshire Debate,Adam Sexton
0,New Hampshire Debate,Devin Dwyer
0,New Hampshire Debate,Rachel Scott
0,New Hampshire Debate,Announcer
15.8,Iowa Debate,Joe Biden
26.2,Iowa Debate,Bernie Sanders
12.3,Iowa Debate,Amy Klobuchar
0.3,Iowa Debate,Tom Steyer
18,Iowa Debate,Elizabeth Warren
26.2,Iowa Debate,Pete Buttigieg
0,Iowa Debate,Wolf Blitzer
0,Iowa Debate,Abby Phillips
0,Iowa Debate,B. Pfannenstiel
0,Iowa Debate,Brianne P.
22,Los Angeles Debate,Joe Biden
17,Los Angeles Debate,Bernie Sanders
1,Los Angeles Debate,Amy Klobuchar
0,Los Angeles Debate,Tom Steyer
0,Los Angeles Debate,Andrew Yang
18,Los Angeles Debate,Elizabeth Warren
10,Los Angeles Debate,Pete Buttigieg
0,Los Angeles Debate,Judy Woodruff
0,Los Angeles Debate,Amy Walter
0,Los Angeles Debate,Stephanie Sy
0,Los Angeles Debate,Tim Alberta
0,Los Angeles Debate,Amna Nawaz
0,Los Angeles Debate,Yamiche A.
36,Atlanta Debate,Joe Biden
17,Atlanta Debate,Bernie Sanders
0,Atlanta Debate,Amy Klobuchar
0,Atlanta Debate,Tom Steyer
0,Atlanta Debate,Andrew Yang
14,Atlanta Debate,Elizabeth Warren
7,Atlanta Debate,Pete Buttigieg
0,Atlanta Debate,Rachel Maddow
0,Atlanta Debate,Andrea Mitchell
6,Atlanta Debate,Kamala Harris
0,Atlanta Debate,Cory Booker
0,Atlanta Debate,Kristen Welker
0,Atlanta Debate,Ashley Parker
0,Atlanta Debate,Tulsi Gabbard
29,Ohio Debate,Joe Biden
27,Ohio Debate,Bernie Sanders
0,Ohio Debate,Amy Klobuchar
0,Ohio Debate,Tom Steyer
3,Ohio Debate,Andrew Yang
21,Ohio Debate,Elizabeth Warren
5,Ohio Debate,Pete Buttigieg
7,Ohio Debate,Kamala Harris
0,Ohio Debate,Cory Booker
1,Ohio Debate,Tulsi Gabbard
0,Ohio Debate,Anderson Cooper
0,Ohio Debate,Erin Burnett
0,Ohio Debate,Marc Lacey
0,Ohio Debate,Julian Castro
2,Ohio Debate,Beto O'Rourke
0,Ohio Debate,A. Cooper
0,Ohio Debate,Jake Tapper
28,Houston Debate,Joe Biden
22.7,Houston Debate,Bernie Sanders
3.3,Houston Debate,Amy Klobuchar
3,Houston Debate,Andrew Yang
15,Houston Debate,Elizabeth Warren
5.7,Houston Debate,Pete Buttigieg
0,Houston Debate,Linsey Davis
0,Houston Debate,David Muir
0,Houston Debate,Kamala Harris
0,Houston Debate,Cory Booker
0,Houston Debate,Julian Castro
0,Houston Debate,Beto O'Rourke
0,Houston Debate,Voiceover
0,Houston Debate,Jorge Ramos
0,Houston Debate,Sec. Castro
40.7,2nd Debate,Joe Biden
27,2nd Debate,Bernie Sanders
4,2nd Debate,Amy Klobuchar
2,2nd Debate,Andrew Yang
19,2nd Debate,Elizabeth Warren
13.3,2nd Debate,Pete Buttigieg
17.7,2nd Debate,Kamala Harris
4.3,2nd Debate,Cory Booker
1.3,2nd Debate,Tulsi Gabbard
0,2nd Debate,Anderson Cooper
2.7,2nd Debate,Julian Castro
10.3,2nd Debate,Beto O'Rourke
0,2nd Debate,Jake Tapper
0,2nd Debate,Dana Bash
1,2nd Debate,Bill de Blasio
1,2nd Debate,Michael Bennet
1,2nd Debate,Jay Inslee
1.3,2nd Debate,Kirsten Gillibrand
0,2nd Debate,Don Lemon
0,2nd Debate,Crowd
1.3,2nd Debate,Kirseten Gillibrand
0,2nd Debate,Diana
1,2nd Debate,Steve Bullock
1,2nd Debate,Marianne Williamson
1.3,2nd Debate,John Delaney
1.3,2nd Debate,Tim Ryan
0,2nd Debate,John H.
0,2nd Debate,Female
0,2nd Debate,Male
1.3,2nd Debate,John Hickenloop
1.3,2nd Debate,J. Hickenlooper
0,2nd Debate,John King
0,2nd Debate,N. Henderson
37.7,1st Debate,Joe Biden
26.7,1st Debate,Bernie Sanders
3.7,1st Debate,Amy Klobuchar
1.7,1st Debate,Andrew Yang
16.3,1st Debate,Elizabeth Warren
13,1st Debate,Pete Buttigieg
0,1st Debate,Rachel Maddow
11,1st Debate,Kamala Harris
4,1st Debate,Cory Booker
1.3,1st Debate,Tulsi Gabbard
2,1st Debate,Julian Castro
10.3,1st Debate,Beto O'Rourke
1,1st Debate,Bill de Blasio
1,1st Debate,Michael Bennet
1,1st Debate,Jay Inslee
1.3,1st Debate,Kirsten Gillibrand
1,1st Debate,Marianne Williamson
1,1st Debate,John Delaney
1.3,1st Debate,Tim Ryan
1.3,1st Debate,John H.
0,1st Debate,Savanagh G.
1,1st Debate,Bennett
0,1st Debate,Jose D.B.
1,1st Debate,Eric Stalwell
1,1st Debate,Eric Swalwell
0,1st Debate,Lester Holt
0,1st Debate,Savannah G.
0,1st Debate,Steve Kornacki
